qmof_id,Stability,StabilityScore
qmof-912bab6.cif,The solvent removal stability prediction is: 0.62. Fairly confident the MOF is stable upon solvent removal.,0.62
qmof-099c53d.cif,"The solvent removal stability prediction is: 0.53. Uncertain, but predict the MOF is stable upon solvent removal.",0.53
qmof-6038f07.cif,"The solvent removal stability prediction is: 0.5. Uncertain, but predict the MOF is unstable upon solvent removal.",0.5
qmof-3a9ad54.cif,The solvent removal stability prediction is: 0.64. Fairly confident the MOF is stable upon solvent removal.,0.64
qmof-fa2b07a.cif,The solvent removal stability prediction is: 0.79. Fairly confident the MOF is stable upon solvent removal.,0.79
qmof-d192e8d.cif,The solvent removal stability prediction is: 0.84. Very confident the MOF is stable upon solvent removal.,0.84
qmof-38471da.cif,The solvent removal stability prediction is: 0.62. Fairly confident the MOF is stable upon solvent removal.,0.62
qmof-077f6af.cif,The solvent removal stability prediction is: 0.78. Fairly confident the MOF is stable upon solvent removal.,0.78
qmof-b8bda61.cif,The solvent removal stability prediction is: 0.89. Very confident the MOF is stable upon solvent removal.,0.89
qmof-bd9ffd3.cif,The solvent removal stability prediction is: 0.77. Fairly confident the MOF is stable upon solvent removal.,0.77
qmof-4e450ae.cif,The solvent removal stability prediction is: 0.21. Fairly confident the MOF is unstable upon solvent removal.,0.21
qmof-7d69ad1.cif,Failed,0.0
qmof-f1bf5ff.cif,The solvent removal stability prediction is: 0.27. Fairly confident the MOF is unstable upon solvent removal.,0.27
qmof-a8728d7.cif,The solvent removal stability prediction is: 0.84. Very confident the MOF is stable upon solvent removal.,0.84
qmof-d816f85.cif,"The solvent removal stability prediction is: 0.49. Uncertain, but predict the MOF is unstable upon solvent removal.",0.49
qmof-b0179be.cif,"The solvent removal stability prediction is: 0.5. Uncertain, but predict the MOF is unstable upon solvent removal.",0.5
qmof-eecf04e.cif,"The solvent removal stability prediction is: 0.49. Uncertain, but predict the MOF is unstable upon solvent removal.",0.49
qmof-9cc65c5.cif,The solvent removal stability prediction is: 0.2. Very confident the MOF is unstable upon solvent removal.,0.2
qmof-1356ddc.cif,The solvent removal stability prediction is: 0.28. Fairly confident the MOF is unstable upon solvent removal.,0.28
qmof-60626cd.cif,"The solvent removal stability prediction is: 0.59. Uncertain, but predict the MOF is stable upon solvent removal.",0.59
qmof-7b5d65b.cif,The solvent removal stability prediction is: 0.36. Fairly confident the MOF is unstable upon solvent removal.,0.36
qmof-f62972b.cif,The solvent removal stability prediction is: 0.92. Very confident the MOF is stable upon solvent removal.,0.92
qmof-0bbe221.cif,The solvent removal stability prediction is: 0.95. Very confident the MOF is stable upon solvent removal.,0.95
qmof-beb185c.cif,"The solvent removal stability prediction is: 0.56. Uncertain, but predict the MOF is stable upon solvent removal.",0.56
qmof-97abf16.cif,The solvent removal stability prediction is: 0.1. Very confident the MOF is unstable upon solvent removal.,0.1
qmof-aec6703.cif,"The solvent removal stability prediction is: 0.57. Uncertain, but predict the MOF is stable upon solvent removal.",0.57
qmof-8325046.cif,The solvent removal stability prediction is: 0.7. Fairly confident the MOF is stable upon solvent removal.,0.7
qmof-3b48e5d.cif,The solvent removal stability prediction is: 0.7. Fairly confident the MOF is stable upon solvent removal.,0.7
qmof-c3298fb.cif,The solvent removal stability prediction is: 0.7. Fairly confident the MOF is stable upon solvent removal.,0.7
qmof-10b2259.cif,The solvent removal stability prediction is: 0.7. Fairly confident the MOF is stable upon solvent removal.,0.7
qmof-e3283fb.cif,Failed,0.0
qmof-ba7e598.cif,"The solvent removal stability prediction is: 0.42. Uncertain, but predict the MOF is unstable upon solvent removal.",0.42
qmof-9df89ca.cif,The solvent removal stability prediction is: 0.38. Fairly confident the MOF is unstable upon solvent removal.,0.38
qmof-288d36e.cif,The solvent removal stability prediction is: 0.02. Very confident the MOF is unstable upon solvent removal.,0.02
qmof-c3ad823.cif,The solvent removal stability prediction is: 0.63. Fairly confident the MOF is stable upon solvent removal.,0.63
